Codigo,Descripcion,PRECIO1,PRECIO2,PRECIO3,PRECIO4,PRECIO5,PRECIO6,PRECIO7,PRECIO8,PRECIO9,PRECIO10
COFI0050,FINCA CERDOS INICIACION ,126711.978,122904.8791,118982.383,121376.7368,116710.5319,0,0,0,0,0
COFI0042,FINCA CERDOS LEVANTE,107531.3736,104329.978,101000.2979,103003.7368,98142.07447,0,0,0,0,0
COFI00101,FINCA CERDOS LEVANTE,3076.923077,3076.923077,2978.723404,2947.368421,0,0,0,0,0,0
COFI0038,FINCA CERDOS ENGORDE,105269.1209,102139.1648,98879.40426,100836.7368,95952.02128,0,0,0,0,0
COFI0073,FINCA CERDO MIX,6153.846154,6153.846154,5957.446809,5894.736842,0,0,0,0,0,0
COFI0275,FINCA CERDO LEVANTE 25-30,102980.7692,99923.07692,96734.04255,98644.73684,93736.70213,0,0,0,0,0
COFI0271,FINCA CERDO ENGORDE 65 - 75,85770.10989,83255.91209,80598.80851,82158.73684,77075.31915,0,0,0,0,0
COFI0039,FINCA CAMPO CERDOS,91524.3956,88828.48352,85993.53191,87670.73684,82645.95745,0,0,0,0,0
COFI0131,FINCA CERDO LEVANTE PAST SIN TRANS,98142.07447,0,0,0,0,0,0,0,0,0
COFI0134,FINCA CAMPO CERDOS SIN TRANS,82645.95745,0,0,0,0,0,0,0,0,0
COFI0165,FINCA CERDO INICIACION * 40KL SIN TRANS,116710.5319,0,0,0,0,0,0,0,0,0
COFI0177,FINCA CERDAS GESTACION PASTILLA SIN FLETE,89661.80851,0,0,0,0,0,0,0,0,0
COFI0178,FINCA CERDAS LACTANCIA PASTILLA SIN FLETE,100285.6383,0,0,0,0,0,0,0,0,0
COFI0191,FINCA CERDAS LACTANCIA A.G. HARINA SIN FLETE,99861.17021,0,0,0,0,0,0,0,0,0
COFI0200,FINCA FINAL CERDOS A.G5 PASTILLA X 40 KL SIN TRANSPORTE,106416.1702,0,0,0,0,0,0,0,0,0
COFI0201,FINCA CERDO ENGORDE PASTILLA X 40 KILOS SIN TRANSPORTE,95952.02128,0,0,0,0,0,0,0,0,0
